record_id,age_group_code,city_tier_code,income_q_code,edu_level_code,age_group_label,city_tier_label,income_q_label,edu_level_label,household_size,purchase_freq_per_month,transaction_value_inr,digital_literacy_score,consumer_awareness_index,price_sensitivity,product_availability,age_scaled,tier_scaled,income_scaled,perceived_quality,adoption_score,adoption_binary
63,1,2,3,2,26-35,Tier-3,20_40pct,Graduate,7,15.703,,0.4886,0.514,0.7706,0.5635,0.75,0.0,0.25,0.6022,0.3936,0
64,1,2,2,1,26-35,Tier-3,40_60pct,Secondary,3,7.645,1093.49,0.5034,0.5384,0.4947,0.3408,0.75,0.0,0.5,0.6561,0.5233,1
65,2,2,2,0,36-45,Tier-3,40_60pct,Below_Secondary,3,1.0,860.0,0.3524,0.3346,0.6065,0.2856,0.5,0.0,0.5,0.367,0.3051,0
66,0,0,2,1,18-25,Tier-1,40_60pct,Secondary,7,10.698,371.18,0.5562,0.6587,0.5809,0.7259,1.0,1.0,0.5,0.7144,0.6933,1
67,3,2,0,2,46-55,Tier-3,Top_20pct,Graduate,6,6.117,3625.76,0.4952,0.5996,0.6278,0.3384,0.25,0.0,1.0,0.4403,0.4385,0
68,0,0,1,3,18-25,Tier-1,60_80pct,Postgraduate,7,1.0,1452.56,0.7586,0.733,0.6229,0.6003,1.0,1.0,0.75,0.6179,0.7369,1
69,4,2,2,3,55+,Tier-3,40_60pct,Postgraduate,5,1.883,322.48,0.2147,0.7257,0.5788,0.4847,0.0,0.0,0.5,0.4965,0.4251,0
70,2,1,4,1,36-45,Tier-2,Bottom_20pct,Secondary,6,1.0,2054.15,0.0193,0.3918,0.4889,0.3975,0.5,0.5,0.0,0.55,0.3782,0
71,0,1,0,1,18-25,Tier-2,Top_20pct,Secondary,2,6.543,485.59,0.5264,0.4681,0.7345,0.4979,1.0,0.5,1.0,0.6323,0.5339,1
72,0,1,3,1,18-25,Tier-2,20_40pct,Secondary,7,1.0,462.3,0.9658,0.5214,0.6113,0.478,1.0,0.5,0.25,0.5925,0.5614,1
73,3,0,0,1,46-55,Tier-1,Top_20pct,Secondary,4,3.123,1574.6,0.3261,0.6743,0.5961,0.6598,0.25,1.0,1.0,0.5851,0.627,1
74,2,0,2,2,36-45,Tier-1,40_60pct,Graduate,7,30.0,1200.59,0.4357,0.6242,0.4845,0.5934,0.5,1.0,0.5,0.7075,0.6541,1
75,2,2,2,1,36-45,Tier-3,40_60pct,Secondary,6,9.523,532.2,0.9454,0.494,0.6299,0.4335,0.5,0.0,0.5,0.6724,0.4438,0
76,2,2,3,0,36-45,Tier-3,20_40pct,Below_Secondary,5,4.424,2743.19,0.7928,0.3063,0.6098,0.2695,0.5,0.0,0.25,0.427,0.3727,0
77,0,0,0,1,18-25,Tier-1,Top_20pct,Secondary,6,5.92,329.01,0.686,0.5818,0.5968,0.5256,1.0,1.0,1.0,0.5154,0.5141,1
78,1,2,1,1,26-35,Tier-3,60_80pct,Secondary,6,4.627,2394.86,0.5799,0.4833,0.5779,0.4058,0.75,0.0,0.75,0.6265,0.4328,0
79,0,1,2,0,18-25,Tier-2,40_60pct,Below_Secondary,7,8.326,338.06,0.3442,0.2467,0.6409,0.4771,1.0,0.5,0.5,0.5377,0.388,0
80,3,0,0,1,46-55,Tier-1,Top_20pct,Secondary,1,10.857,925.26,0.2984,0.5614,0.5936,0.5571,0.25,1.0,1.0,0.5019,0.5142,1
81,2,0,0,1,36-45,Tier-1,Top_20pct,Secondary,7,7.275,482.63,0.0878,0.4616,0.6796,0.4865,0.5,1.0,1.0,0.4711,0.5082,1
82,1,2,2,1,26-35,Tier-3,40_60pct,Secondary,7,1.004,1363.77,0.3111,0.5288,0.5673,0.0913,0.75,0.0,0.5,0.2473,0.3562,0
83,0,1,2,1,18-25,Tier-2,40_60pct,Secondary,7,2.33,106.45,0.8365,,0.6111,0.5181,1.0,0.5,0.5,0.548,0.5896,1
84,1,1,0,2,26-35,Tier-2,Top_20pct,Graduate,4,7.672,260.38,0.6541,0.4833,0.6342,0.5676,0.75,0.5,1.0,0.5943,0.5143,1
85,1,1,2,3,26-35,Tier-2,40_60pct,Postgraduate,3,8.663,1116.44,0.5623,0.905,0.6786,0.5451,0.75,0.5,0.5,0.4904,0.6981,1
86,2,0,4,2,36-45,Tier-1,Bottom_20pct,Graduate,1,4.955,1473.63,0.2181,0.6708,0.4831,,0.5,1.0,0.0,0.4621,0.6041,1
87,2,1,0,2,36-45,Tier-2,Top_20pct,Graduate,7,6.261,375.3,0.2681,0.5655,0.5519,0.4048,0.5,0.5,1.0,0.3579,0.4944,0
88,3,0,2,3,46-55,Tier-1,40_60pct,Postgraduate,7,1.0,1752.33,0.303,,0.515,0.7109,0.25,1.0,0.5,0.5439,0.6075,1
89,1,0,0,1,26-35,Tier-1,Top_20pct,Secondary,5,2.331,355.58,0.4971,0.5461,0.5844,0.6918,0.75,1.0,1.0,0.4998,0.6368,1
90,0,1,0,1,18-25,Tier-2,Top_20pct,Secondary,6,3.825,1061.65,0.4023,0.4964,0.7586,0.5109,1.0,0.5,1.0,0.4746,0.5248,1
91,2,2,0,1,36-45,Tier-3,Top_20pct,Secondary,3,20.586,586.41,0.7685,0.4162,0.6338,0.3349,0.5,0.0,1.0,0.5917,0.4237,0
92,2,0,2,1,36-45,Tier-1,40_60pct,Secondary,6,8.028,172.01,0.6754,0.5585,0.5419,0.5503,0.5,1.0,0.5,0.6532,0.5927,1
93,2,0,3,2,36-45,Tier-1,20_40pct,Graduate,3,1.07,3248.31,0.5157,0.6901,0.6263,0.7843,0.5,1.0,0.25,0.5118,0.6244,1
94,2,1,1,0,36-45,Tier-2,60_80pct,Below_Secondary,3,2.172,402.28,0.6259,0.3032,0.6143,0.4496,0.5,0.5,0.75,0.6356,0.3685,0
95,1,2,2,3,26-35,Tier-3,40_60pct,Postgraduate,4,1.222,343.17,0.3182,0.5779,0.6661,0.2978,0.75,0.0,0.5,0.5653,0.3825,0
96,2,1,1,0,36-45,Tier-2,60_80pct,Below_Secondary,5,1.0,471.7,,0.3708,0.6593,0.3119,0.5,0.5,0.75,0.4013,0.3922,0
97,1,2,1,3,26-35,Tier-3,60_80pct,Postgraduate,5,1.0,,0.8451,0.8136,0.5279,0.2767,0.75,0.0,0.75,0.5764,0.5342,1
98,0,1,2,3,18-25,Tier-2,40_60pct,Postgraduate,6,16.863,799.92,0.6475,0.7996,0.6081,0.5686,1.0,0.5,0.5,0.5027,0.5748,1
99,0,2,3,3,18-25,Tier-3,20_40pct,Postgraduate,7,11.856,434.11,0.9079,0.8288,0.6923,0.2727,1.0,0.0,0.25,0.522,0.6065,1
100,0,0,3,2,18-25,Tier-1,20_40pct,Graduate,4,3.301,415.42,0.1004,0.5048,0.6926,0.5684,1.0,1.0,0.25,0.7303,0.536,1
101,2,0,3,0,36-45,Tier-1,20_40pct,Below_Secondary,5,3.976,1027.58,0.7361,0.3461,0.4711,0.4873,0.5,1.0,0.25,0.6681,0.5094,1
102,1,0,1,2,26-35,Tier-1,60_80pct,Graduate,3,9.12,669.29,0.532,0.5821,0.6555,0.6506,0.75,1.0,0.75,0.3674,0.5171,1
103,1,1,3,1,26-35,Tier-2,20_40pct,Secondary,3,5.233,1009.57,0.5086,0.4233,0.6313,0.6052,0.75,0.5,0.25,0.5718,0.6225,1
104,3,2,1,3,46-55,Tier-3,60_80pct,Postgraduate,6,6.596,514.18,0.5901,0.5805,0.7315,0.3784,0.25,0.0,0.75,0.3962,0.4072,0
105,1,2,3,1,26-35,Tier-3,20_40pct,Secondary,3,7.831,872.66,0.7702,0.4008,0.7916,0.3506,0.75,0.0,0.25,0.38,0.3452,0
106,1,0,4,1,26-35,Tier-1,Bottom_20pct,Secondary,5,3.299,169.09,0.7641,0.5581,0.6099,0.6308,0.75,1.0,0.0,0.2681,0.6097,1
107,2,0,0,3,36-45,Tier-1,Top_20pct,Postgraduate,2,18.403,1776.99,0.3519,0.8005,0.6558,0.5919,0.5,1.0,1.0,0.5604,0.671,1
108,1,0,2,0,26-35,Tier-1,40_60pct,Below_Secondary,1,4.949,459.76,0.3412,0.3089,0.7319,0.5591,0.75,1.0,0.5,0.8096,0.4252,0
109,0,0,2,1,18-25,Tier-1,40_60pct,Secondary,2,5.019,,0.5078,0.7171,0.6585,0.5804,1.0,1.0,0.5,0.3299,0.5958,1
110,1,1,3,1,26-35,Tier-2,20_40pct,Secondary,4,1.0,1089.13,0.5291,0.5849,0.6618,0.6141,0.75,0.5,0.25,0.4981,0.5616,1
111,0,2,0,2,18-25,Tier-3,Top_20pct,Graduate,2,22.006,829.47,0.6637,0.7409,0.6633,0.3124,1.0,0.0,1.0,0.4335,0.5415,1
112,3,2,4,2,46-55,Tier-3,Bottom_20pct,Graduate,7,1.0,1178.8,0.1839,0.5161,0.5053,0.2443,0.25,0.0,0.0,0.5,0.252,0
113,3,1,2,2,46-55,Tier-2,40_60pct,Graduate,6,21.215,2277.2,0.778,0.5189,0.7638,,0.25,0.5,0.5,0.6563,0.3886,0
114,2,2,0,3,36-45,Tier-3,Top_20pct,Postgraduate,2,12.071,534.12,0.5129,0.6934,0.6464,0.507,0.5,0.0,1.0,0.4051,0.4674,0
115,3,1,0,0,46-55,Tier-2,Top_20pct,Below_Secondary,7,9.704,641.65,0.156,0.3344,0.6458,0.3296,0.25,0.5,1.0,0.5386,0.3736,0
116,3,0,3,2,46-55,Tier-1,20_40pct,Graduate,6,5.598,7473.26,0.0979,0.629,0.5733,0.4627,0.25,1.0,0.25,0.54,0.5128,1
117,0,1,0,2,18-25,Tier-2,Top_20pct,Graduate,4,4.693,434.07,0.3443,0.6723,0.6324,0.5136,1.0,0.5,1.0,0.6215,0.5454,1
118,3,1,0,2,46-55,Tier-2,Top_20pct,Graduate,2,28.449,363.0,0.3815,0.6795,0.8081,0.5513,0.25,0.5,1.0,0.3964,0.5153,1
119,2,1,2,1,36-45,Tier-2,40_60pct,Secondary,1,18.248,1355.22,0.3994,0.5254,0.5635,0.4256,0.5,0.5,0.5,0.6815,0.3877,0
120,3,0,2,0,46-55,Tier-1,40_60pct,Below_Secondary,5,8.352,1547.17,0.3162,0.3789,0.6005,0.7616,0.25,1.0,0.5,0.6702,0.5135,1
121,3,0,3,0,46-55,Tier-1,20_40pct,Below_Secondary,7,1.0,1424.11,0.1178,0.4627,0.6422,0.5306,0.25,1.0,0.25,0.5236,0.4203,0
122,1,0,1,0,26-35,Tier-1,60_80pct,Below_Secondary,4,2.327,366.75,0.7592,0.4826,0.6419,0.6717,0.75,1.0,0.75,0.5826,0.4847,0
123,0,2,3,1,18-25,Tier-3,20_40pct,Secondary,2,10.047,586.12,0.6368,0.5444,0.6724,,1.0,0.0,0.25,0.4647,0.4185,0
124,1,1,4,0,26-35,Tier-2,Bottom_20pct,Below_Secondary,3,6.062,662.45,0.3734,,0.7284,0.4712,0.75,0.5,0.0,0.4437,0.3493,0
125,1,2,1,1,26-35,Tier-3,60_80pct,Secondary,3,1.0,510.13,0.9561,0.4346,0.6988,0.3488,0.75,0.0,0.75,0.4005,0.3937,0
126,3,2,3,1,46-55,Tier-3,20_40pct,Secondary,4,2.14,771.42,0.6668,0.345,0.5973,0.357,0.25,0.0,0.25,0.4359,0.4299,0
127,3,0,4,2,46-55,Tier-1,Bottom_20pct,Graduate,3,1.0,502.46,0.7843,0.4856,0.5566,0.6051,0.25,1.0,0.0,0.5467,0.4815,0
128,0,1,3,3,18-25,Tier-2,20_40pct,Postgraduate,1,11.165,2624.19,0.7312,0.7678,0.4346,0.633,1.0,0.5,0.25,0.4687,0.6952,1
129,1,2,3,1,26-35,Tier-3,20_40pct,Secondary,7,6.872,272.48,0.1809,0.4815,0.6066,0.3538,0.75,0.0,0.25,0.5949,0.4319,0
130,1,1,1,2,26-35,Tier-2,60_80pct,Graduate,2,2.862,3203.32,,0.5561,0.5529,0.4466,0.75,0.5,0.75,0.5906,0.514,1
131,0,2,2,3,18-25,Tier-3,40_60pct,Postgraduate,1,7.144,215.96,0.4694,0.658,0.594,0.3171,1.0,0.0,0.5,0.4872,0.4268,0
132,0,0,2,2,18-25,Tier-1,40_60pct,Graduate,1,13.547,3953.71,0.633,0.6584,0.4557,0.6178,1.0,1.0,0.5,0.5557,0.6455,1
133,1,0,3,3,26-35,Tier-1,20_40pct,Postgraduate,5,1.642,1531.77,0.7042,,0.4575,0.7203,0.75,1.0,0.25,0.7144,0.804,1
134,4,2,4,0,55+,Tier-3,Bottom_20pct,Below_Secondary,2,1.683,355.38,0.0079,0.2879,0.5592,0.4929,0.0,0.0,0.0,0.4723,0.2798,0
135,1,2,0,3,26-35,Tier-3,Top_20pct,Postgraduate,4,3.295,662.3,0.6679,0.7616,0.6444,0.286,0.75,0.0,1.0,0.4573,0.5152,1
136,1,2,0,1,26-35,Tier-3,Top_20pct,Secondary,3,6.136,1256.3,0.3326,0.4239,0.6244,0.2361,0.75,0.0,1.0,0.8183,0.4447,0
137,2,1,0,0,36-45,Tier-2,Top_20pct,Below_Secondary,7,24.836,1267.89,0.157,0.3798,0.7627,0.6159,0.5,0.5,1.0,0.4005,0.4639,0
138,1,2,3,3,26-35,Tier-3,20_40pct,Postgraduate,5,1.0,597.54,0.9244,0.8203,0.485,0.3854,0.75,0.0,0.25,0.5552,0.5642,1
139,4,2,0,3,55+,Tier-3,Top_20pct,Postgraduate,1,2.094,267.05,,0.8003,0.7451,0.4193,0.0,0.0,1.0,0.5826,0.5453,1
140,4,2,2,1,55+,Tier-3,40_60pct,Secondary,3,2.258,1715.2,0.8389,0.3757,0.6741,0.31,0.0,0.0,0.5,0.4807,0.2871,0
141,1,1,1,3,26-35,Tier-2,60_80pct,Postgraduate,2,6.47,854.33,0.87,0.763,0.6518,0.4562,0.75,0.5,0.75,0.5162,0.6053,1
142,1,0,2,0,26-35,Tier-1,40_60pct,Below_Secondary,1,10.884,2356.66,0.6873,0.4239,0.6053,0.5801,0.75,1.0,0.5,0.4449,0.4613,0
143,1,2,1,2,26-35,Tier-3,60_80pct,Graduate,1,1.015,602.63,0.2535,0.6371,0.6391,0.2792,0.75,0.0,0.75,0.5759,0.4456,0
144,1,1,3,1,26-35,Tier-2,20_40pct,Secondary,2,6.253,796.97,0.7279,0.5255,0.5599,0.4689,0.75,0.5,0.25,0.5297,0.5533,1
145,0,1,2,1,18-25,Tier-2,40_60pct,Secondary,4,12.019,2389.36,0.7375,0.6818,0.7537,0.547,1.0,0.5,0.5,0.6799,0.649,1
146,2,1,4,2,36-45,Tier-2,Bottom_20pct,Graduate,5,1.0,826.68,0.0229,0.5536,0.585,0.3328,0.5,0.5,0.0,0.5873,0.4629,0
147,1,1,2,1,26-35,Tier-2,40_60pct,Secondary,2,5.04,206.65,0.3566,0.5579,0.6064,0.545,0.75,0.5,0.5,0.565,0.5269,1
148,0,1,0,0,18-25,Tier-2,Top_20pct,Below_Secondary,3,1.131,181.45,0.6772,0.506,0.6134,0.408,1.0,0.5,1.0,0.4783,0.3991,0
149,1,0,0,1,26-35,Tier-1,Top_20pct,Secondary,3,2.909,141.17,0.3489,0.6551,0.7501,0.684,0.75,1.0,1.0,0.5553,0.56,1
150,3,2,4,1,46-55,Tier-3,Bottom_20pct,Secondary,1,1.0,302.24,0.0711,0.5387,0.5969,0.2754,0.25,0.0,0.0,0.6158,0.3121,0
151,1,1,3,2,26-35,Tier-2,20_40pct,Graduate,7,5.754,454.81,0.4372,0.7335,0.5825,0.5634,0.75,0.5,0.25,0.5372,0.5544,1
152,0,1,0,1,18-25,Tier-2,Top_20pct,Secondary,6,2.566,1482.33,0.4812,0.5378,0.6961,0.4908,1.0,0.5,1.0,0.5467,0.5138,1
153,1,0,3,2,26-35,Tier-1,20_40pct,Graduate,5,4.188,1661.91,0.7856,,0.5126,0.5601,0.75,1.0,0.25,0.3155,0.5958,1
154,4,0,1,1,55+,Tier-1,60_80pct,Secondary,4,3.707,100.78,0.0164,,0.5937,0.7577,0.0,1.0,0.75,0.4602,0.5076,1
155,1,0,1,1,26-35,Tier-1,60_80pct,Secondary,4,5.921,1160.55,0.8854,0.6311,0.5932,0.622,0.75,1.0,0.75,0.5117,0.5674,1
156,2,1,0,1,36-45,Tier-2,Top_20pct,Secondary,6,11.297,477.55,,0.3275,0.671,0.5627,0.5,0.5,1.0,0.5237,0.495,0
157,2,0,3,2,36-45,Tier-1,20_40pct,Graduate,3,1.641,910.84,0.143,0.6253,0.5778,0.7473,0.5,1.0,0.25,0.4039,0.6169,1
158,1,2,0,0,26-35,Tier-3,Top_20pct,Below_Secondary,4,4.521,3769.17,0.6694,0.2976,,0.4602,0.75,0.0,1.0,0.5094,0.3905,0
159,2,0,1,1,36-45,Tier-1,60_80pct,Secondary,7,4.264,317.56,0.6177,0.4284,0.6484,0.5292,0.5,1.0,0.75,0.2966,0.4727,0
